Solver, Instance, Result
ParLS-PBO(4 thread), ab72-40-100.opb, -1200310.0
ParLS-PBO(8 thread), ab72-40-100.opb, -1200310.0
ParLS-PBO(16 thread), ab72-40-100.opb, -1200310.0
LS-PBO, academictimetablebig.opb, 914.0
DeciLS-PBO, academictimetablebig.opb, 914.0
PBO-IHS, academictimetablebig.opb, 427.0
Hybrid, academictimetablebig.opb, 427.0
SCIP, academictimetablebig.opb, N/A
Gurobi(comp 1 thread), academictimetablebig.opb, N/A
Gurobi(heur 1 thread), academictimetablebig.opb, N/A
LS-PBO-dynamic, academictimetablebig.opb, 427.0
FiberSCIP, academictimetablebig.opb, N/A
Gurobi(comp 32 thread), academictimetablebig.opb, N/A
Gurobi(heur 32 thread), academictimetablebig.opb, N/A
ParLS-PBO, academictimetablebig.opb, 427.0
V1, academictimetablebig.opb, 427.0
V2, academictimetablebig.opb, 427.0
ParLS-PBO(4 thread), academictimetablebig.opb, 427.0
ParLS-PBO(8 thread), academictimetablebig.opb, 427.0
ParLS-PBO(16 thread), academictimetablebig.opb, 427.0
LS-PBO, academictimetablesmall.opb, 54.0
DeciLS-PBO, academictimetablesmall.opb, 31.0
PBO-IHS, academictimetablesmall.opb, 0.0
Hybrid, academictimetablesmall.opb, 0.0
SCIP, academictimetablesmall.opb, N/A
Gurobi(comp 1 thread), academictimetablesmall.opb, N/A
Gurobi(heur 1 thread), academictimetablesmall.opb, 0.0
LS-PBO-dynamic, academictimetablesmall.opb, 0.0
FiberSCIP, academictimetablesmall.opb, N/A
Gurobi(comp 32 thread), academictimetablesmall.opb, 0.0
Gurobi(heur 32 thread), academictimetablesmall.opb, 0.0
ParLS-PBO, academictimetablesmall.opb, 0.0
V1, academictimetablesmall.opb, 0.0
V2, academictimetablesmall.opb, 0.0
ParLS-PBO(4 thread), academictimetablesmall.opb, 0.0
ParLS-PBO(8 thread), academictimetablesmall.opb, 0.0
ParLS-PBO(16 thread), academictimetablesmall.opb, 0.0
LS-PBO, acc-tight2.opb, 0.0
DeciLS-PBO, acc-tight2.opb, 0.0
PBO-IHS, acc-tight2.opb, N/A
Hybrid, acc-tight2.opb, 0.0
SCIP, acc-tight2.opb, 0.0
Gurobi(comp 1 thread), acc-tight2.opb, 0.0
Gurobi(heur 1 thread), acc-tight2.opb, 0.0
LS-PBO-dynamic, acc-tight2.opb, 0.0
FiberSCIP, acc-tight2.opb, 0.0
Gurobi(comp 32 thread), acc-tight2.opb, 0.0
Gurobi(heur 32 thread), acc-tight2.opb, 0.0
ParLS-PBO, acc-tight2.opb, 0.0
V1, acc-tight2.opb, 0.0
V2, acc-tight2.opb, 0.0
ParLS-PBO(4 thread), acc-tight2.opb, 0.0
ParLS-PBO(8 thread), acc-tight2.opb, 0.0
ParLS-PBO(16 thread), acc-tight2.opb, 0.0
LS-PBO, acc-tight4.opb, 0.0
DeciLS-PBO, acc-tight4.opb, 0.0
PBO-IHS, acc-tight4.opb, 0.0
Hybrid, acc-tight4.opb, N/A
SCIP, acc-tight4.opb, 0.0
Gurobi(comp 1 thread), acc-tight4.opb, 0.0
Gurobi(heur 1 thread), acc-tight4.opb, 0.0
LS-PBO-dynamic, acc-tight4.opb, 0.0
FiberSCIP, acc-tight4.opb, 0.0
Gurobi(comp 32 thread), acc-tight4.opb, 0.0
Gurobi(heur 32 thread), acc-tight4.opb, 0.0
ParLS-PBO, acc-tight4.opb, 0.0
V1, acc-tight4.opb, 0.0
V2, acc-tight4.opb, 0.0
ParLS-PBO(4 thread), acc-tight4.opb, 0.0
ParLS-PBO(8 thread), acc-tight4.opb, 0.0
ParLS-PBO(16 thread), acc-tight4.opb, 0.0
LS-PBO, acc-tight5.opb, 0.0
DeciLS-PBO, acc-tight5.opb, 0.0
PBO-IHS, acc-tight5.opb, 0.0
Hybrid, acc-tight5.opb, N/A
SCIP, acc-tight5.opb, 0.0
Gurobi(comp 1 thread), acc-tight5.opb, 0.0
Gurobi(heur 1 thread), acc-tight5.opb, 0.0
LS-PBO-dynamic, acc-tight5.opb, 0.0
FiberSCIP, acc-tight5.opb, 0.0
Gurobi(comp 32 thread), acc-tight5.opb, 0.0
Gurobi(heur 32 thread), acc-tight5.opb, 0.0
ParLS-PBO, acc-tight5.opb, 0.0
V1, acc-tight5.opb, 0.0
V2, acc-tight5.opb, 0.0
ParLS-PBO(4 thread), acc-tight5.opb, 0.0
ParLS-PBO(8 thread), acc-tight5.opb, 0.0
ParLS-PBO(16 thread), acc-tight5.opb, 0.0
LS-PBO, acc-tight6.opb, 0.0
DeciLS-PBO, acc-tight6.opb, 0.0
PBO-IHS, acc-tight6.opb, 0.0
Hybrid, acc-tight6.opb, N/A
SCIP, acc-tight6.opb, 0.0
Gurobi(comp 1 thread), acc-tight6.opb, 0.0
Gurobi(heur 1 thread), acc-tight6.opb, 0.0
LS-PBO-dynamic, acc-tight6.opb, 0.0
FiberSCIP, acc-tight6.opb, 0.0
Gurobi(comp 32 thread), acc-tight6.opb, 0.0
Gurobi(heur 32 thread), acc-tight6.opb, 0.0
ParLS-PBO, acc-tight6.opb, 0.0
V1, acc-tight6.opb, 0.0
V2, acc-tight6.opb, 0.0
ParLS-PBO(4 thread), acc-tight6.opb, 0.0
ParLS-PBO(8 thread), acc-tight6.opb, 0.0
ParLS-PBO(16 thread), acc-tight6.opb, 0.0
LS-PBO, air01.opb, 6796.0
DeciLS-PBO, air01.opb, 6796.0
PBO-IHS, air01.opb, 6796.0
Hybrid, air01.opb, 6796.0
SCIP, air01.opb, 6796.0
Gurobi(comp 1 thread), air01.opb, 6796.0
Gurobi(heur 1 thread), air01.opb, 6796.0
LS-PBO-dynamic, air01.opb, 6796.0
FiberSCIP, air01.opb, 6796.0
Gurobi(comp 32 thread), air01.opb, 6796.0
Gurobi(heur 32 thread), air01.opb, 6796.0
ParLS-PBO, air01.opb, 6796.0
V1, air01.opb, 6796.0
V2, air01.opb, 6796.0
ParLS-PBO(4 thread), air01.opb, 6796.0
