Solver, Instance, Result
FiberSCIP, normalized-aim-100-3_4-yes1-1.opb, 100.0
Gurobi(comp 32 thread), normalized-aim-100-3_4-yes1-1.opb, 100.0
Gurobi(heur 32 thread), normalized-aim-100-3_4-yes1-1.opb, 100.0
ParLS-PBO, normalized-aim-100-3_4-yes1-1.opb, 100.0
V1, normalized-aim-100-3_4-yes1-1.opb, 100.0
V2, normalized-aim-100-3_4-yes1-1.opb, 100.0
ParLS-PBO(4 thread), normalized-aim-100-3_4-yes1-1.opb, 100.0
ParLS-PBO(8 thread), normalized-aim-100-3_4-yes1-1.opb, 100.0
ParLS-PBO(16 thread), normalized-aim-100-3_4-yes1-1.opb, 100.0
LS-PBO, normalized-aim-100-3_4-yes1-2.opb, 100.0
DeciLS-PBO, normalized-aim-100-3_4-yes1-2.opb, 100.0
PBO-IHS, normalized-aim-100-3_4-yes1-2.opb, 100.0
Hybrid, normalized-aim-100-3_4-yes1-2.opb, 100.0
SCIP, normalized-aim-100-3_4-yes1-2.opb, 100.0
Gurobi(comp 1 thread), normalized-aim-100-3_4-yes1-2.opb, 100.0
Gurobi(heur 1 thread), normalized-aim-100-3_4-yes1-2.opb, 100.0
LS-PBO-dynamic, normalized-aim-100-3_4-yes1-2.opb, 100.0
FiberSCIP, normalized-aim-100-3_4-yes1-2.opb, 100.0
Gurobi(comp 32 thread), normalized-aim-100-3_4-yes1-2.opb, 100.0
Gurobi(heur 32 thread), normalized-aim-100-3_4-yes1-2.opb, 100.0
ParLS-PBO, normalized-aim-100-3_4-yes1-2.opb, 100.0
V1, normalized-aim-100-3_4-yes1-2.opb, 100.0
V2, normalized-aim-100-3_4-yes1-2.opb, 100.0
ParLS-PBO(4 thread), normalized-aim-100-3_4-yes1-2.opb, 100.0
ParLS-PBO(8 thread), normalized-aim-100-3_4-yes1-2.opb, 100.0
ParLS-PBO(16 thread), normalized-aim-100-3_4-yes1-2.opb, 100.0
LS-PBO, normalized-aim-100-3_4-yes1-3.opb, 100.0
DeciLS-PBO, normalized-aim-100-3_4-yes1-3.opb, 100.0
PBO-IHS, normalized-aim-100-3_4-yes1-3.opb, 100.0
Hybrid, normalized-aim-100-3_4-yes1-3.opb, 100.0
SCIP, normalized-aim-100-3_4-yes1-3.opb, 100.0
Gurobi(comp 1 thread), normalized-aim-100-3_4-yes1-3.opb, 100.0
Gurobi(heur 1 thread), normalized-aim-100-3_4-yes1-3.opb, 100.0
LS-PBO-dynamic, normalized-aim-100-3_4-yes1-3.opb, 100.0
FiberSCIP, normalized-aim-100-3_4-yes1-3.opb, 100.0
Gurobi(comp 32 thread), normalized-aim-100-3_4-yes1-3.opb, 100.0
Gurobi(heur 32 thread), normalized-aim-100-3_4-yes1-3.opb, 100.0
ParLS-PBO, normalized-aim-100-3_4-yes1-3.opb, 100.0
V1, normalized-aim-100-3_4-yes1-3.opb, 100.0
V2, normalized-aim-100-3_4-yes1-3.opb, 100.0
ParLS-PBO(4 thread), normalized-aim-100-3_4-yes1-3.opb, 100.0
ParLS-PBO(8 thread), normalized-aim-100-3_4-yes1-3.opb, 100.0
ParLS-PBO(16 thread), normalized-aim-100-3_4-yes1-3.opb, 100.0
LS-PBO, normalized-aim-100-3_4-yes1-4.opb, 100.0
DeciLS-PBO, normalized-aim-100-3_4-yes1-4.opb, 100.0
PBO-IHS, normalized-aim-100-3_4-yes1-4.opb, 100.0
Hybrid, normalized-aim-100-3_4-yes1-4.opb, 100.0
SCIP, normalized-aim-100-3_4-yes1-4.opb, 100.0
Gurobi(comp 1 thread), normalized-aim-100-3_4-yes1-4.opb, 100.0
Gurobi(heur 1 thread), normalized-aim-100-3_4-yes1-4.opb, 100.0
LS-PBO-dynamic, normalized-aim-100-3_4-yes1-4.opb, 100.0
FiberSCIP, normalized-aim-100-3_4-yes1-4.opb, 100.0
Gurobi(comp 32 thread), normalized-aim-100-3_4-yes1-4.opb, 100.0
Gurobi(heur 32 thread), normalized-aim-100-3_4-yes1-4.opb, 100.0
ParLS-PBO, normalized-aim-100-3_4-yes1-4.opb, 100.0
V1, normalized-aim-100-3_4-yes1-4.opb, 100.0
V2, normalized-aim-100-3_4-yes1-4.opb, 100.0
ParLS-PBO(4 thread), normalized-aim-100-3_4-yes1-4.opb, 100.0
ParLS-PBO(8 thread), normalized-aim-100-3_4-yes1-4.opb, 100.0
ParLS-PBO(16 thread), normalized-aim-100-3_4-yes1-4.opb, 100.0
LS-PBO, normalized-aim-100-6_0-yes1-1.opb, 100.0
DeciLS-PBO, normalized-aim-100-6_0-yes1-1.opb, 100.0
PBO-IHS, normalized-aim-100-6_0-yes1-1.opb, 100.0
Hybrid, normalized-aim-100-6_0-yes1-1.opb, 100.0
SCIP, normalized-aim-100-6_0-yes1-1.opb, 100.0
Gurobi(comp 1 thread), normalized-aim-100-6_0-yes1-1.opb, 100.0
Gurobi(heur 1 thread), normalized-aim-100-6_0-yes1-1.opb, 100.0
LS-PBO-dynamic, normalized-aim-100-6_0-yes1-1.opb, 100.0
FiberSCIP, normalized-aim-100-6_0-yes1-1.opb, 100.0
Gurobi(comp 32 thread), normalized-aim-100-6_0-yes1-1.opb, 100.0
Gurobi(heur 32 thread), normalized-aim-100-6_0-yes1-1.opb, 100.0
ParLS-PBO, normalized-aim-100-6_0-yes1-1.opb, 100.0
V1, normalized-aim-100-6_0-yes1-1.opb, 100.0
V2, normalized-aim-100-6_0-yes1-1.opb, 100.0
ParLS-PBO(4 thread), normalized-aim-100-6_0-yes1-1.opb, 100.0
ParLS-PBO(8 thread), normalized-aim-100-6_0-yes1-1.opb, 100.0
ParLS-PBO(16 thread), normalized-aim-100-6_0-yes1-1.opb, 100.0
LS-PBO, normalized-aim-100-6_0-yes1-2.opb, 100.0
DeciLS-PBO, normalized-aim-100-6_0-yes1-2.opb, 100.0
PBO-IHS, normalized-aim-100-6_0-yes1-2.opb, 100.0
Hybrid, normalized-aim-100-6_0-yes1-2.opb, 100.0
SCIP, normalized-aim-100-6_0-yes1-2.opb, 100.0
Gurobi(comp 1 thread), normalized-aim-100-6_0-yes1-2.opb, 100.0
Gurobi(heur 1 thread), normalized-aim-100-6_0-yes1-2.opb, 100.0
LS-PBO-dynamic, normalized-aim-100-6_0-yes1-2.opb, 100.0
FiberSCIP, normalized-aim-100-6_0-yes1-2.opb, 100.0
Gurobi(comp 32 thread), normalized-aim-100-6_0-yes1-2.opb, 100.0
Gurobi(heur 32 thread), normalized-aim-100-6_0-yes1-2.opb, 100.0
ParLS-PBO, normalized-aim-100-6_0-yes1-2.opb, 100.0
V1, normalized-aim-100-6_0-yes1-2.opb, 100.0
V2, normalized-aim-100-6_0-yes1-2.opb, 100.0
ParLS-PBO(4 thread), normalized-aim-100-6_0-yes1-2.opb, 100.0
ParLS-PBO(8 thread), normalized-aim-100-6_0-yes1-2.opb, 100.0
ParLS-PBO(16 thread), normalized-aim-100-6_0-yes1-2.opb, 100.0
LS-PBO, normalized-aim-100-6_0-yes1-3.opb, 100.0
DeciLS-PBO, normalized-aim-100-6_0-yes1-3.opb, 100.0
PBO-IHS, normalized-aim-100-6_0-yes1-3.opb, 100.0
Hybrid, normalized-aim-100-6_0-yes1-3.opb, 100.0
SCIP, normalized-aim-100-6_0-yes1-3.opb, 100.0
Gurobi(comp 1 thread), normalized-aim-100-6_0-yes1-3.opb, 100.0
Gurobi(heur 1 thread), normalized-aim-100-6_0-yes1-3.opb, 100.0
LS-PBO-dynamic, normalized-aim-100-6_0-yes1-3.opb, 100.0
FiberSCIP, normalized-aim-100-6_0-yes1-3.opb, 100.0
Gurobi(comp 32 thread), normalized-aim-100-6_0-yes1-3.opb, 100.0
Gurobi(heur 32 thread), normalized-aim-100-6_0-yes1-3.opb, 100.0
ParLS-PBO, normalized-aim-100-6_0-yes1-3.opb, 100.0
V1, normalized-aim-100-6_0-yes1-3.opb, 100.0
V2, normalized-aim-100-6_0-yes1-3.opb, 100.0
ParLS-PBO(4 thread), normalized-aim-100-6_0-yes1-3.opb, 100.0
ParLS-PBO(8 thread), normalized-aim-100-6_0-yes1-3.opb, 100.0
ParLS-PBO(16 thread), normalized-aim-100-6_0-yes1-3.opb, 100.0
LS-PBO, normalized-aim-100-6_0-yes1-4.opb, 100.0
DeciLS-PBO, normalized-aim-100-6_0-yes1-4.opb, 100.0
PBO-IHS, normalized-aim-100-6_0-yes1-4.opb, 100.0
Hybrid, normalized-aim-100-6_0-yes1-4.opb, 100.0
SCIP, normalized-aim-100-6_0-yes1-4.opb, 100.0
Gurobi(comp 1 thread), normalized-aim-100-6_0-yes1-4.opb, 100.0
Gurobi(heur 1 thread), normalized-aim-100-6_0-yes1-4.opb, 100.0
LS-PBO-dynamic, normalized-aim-100-6_0-yes1-4.opb, 100.0
FiberSCIP, normalized-aim-100-6_0-yes1-4.opb, 100.0
Gurobi(comp 32 thread), normalized-aim-100-6_0-yes1-4.opb, 100.0
Gurobi(heur 32 thread), normalized-aim-100-6_0-yes1-4.opb, 100.0
ParLS-PBO, normalized-aim-100-6_0-yes1-4.opb, 100.0
V1, normalized-aim-100-6_0-yes1-4.opb, 100.0
V2, normalized-aim-100-6_0-yes1-4.opb, 100.0
ParLS-PBO(4 thread), normalized-aim-100-6_0-yes1-4.opb, 100.0
ParLS-PBO(8 thread), normalized-aim-100-6_0-yes1-4.opb, 100.0
ParLS-PBO(16 thread), normalized-aim-100-6_0-yes1-4.opb, 100.0
LS-PBO, normalized-aim-200-1_6-yes1-1.opb, N/A
DeciLS-PBO, normalized-aim-200-1_6-yes1-1.opb, N/A
PBO-IHS, normalized-aim-200-1_6-yes1-1.opb, 200.0
Hybrid, normalized-aim-200-1_6-yes1-1.opb, 200.0
SCIP, normalized-aim-200-1_6-yes1-1.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-1_6-yes1-1.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-1_6-yes1-1.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-1_6-yes1-1.opb, N/A
FiberSCIP, normalized-aim-200-1_6-yes1-1.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-1_6-yes1-1.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-1_6-yes1-1.opb, 200.0
ParLS-PBO, normalized-aim-200-1_6-yes1-1.opb, 200.0
V1, normalized-aim-200-1_6-yes1-1.opb, 200.0
V2, normalized-aim-200-1_6-yes1-1.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-1_6-yes1-1.opb, N/A
ParLS-PBO(8 thread), normalized-aim-200-1_6-yes1-1.opb, N/A
ParLS-PBO(16 thread), normalized-aim-200-1_6-yes1-1.opb, N/A
LS-PBO, normalized-aim-200-1_6-yes1-2.opb, N/A
DeciLS-PBO, normalized-aim-200-1_6-yes1-2.opb, N/A
PBO-IHS, normalized-aim-200-1_6-yes1-2.opb, 200.0
Hybrid, normalized-aim-200-1_6-yes1-2.opb, N/A
SCIP, normalized-aim-200-1_6-yes1-2.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-1_6-yes1-2.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-1_6-yes1-2.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-1_6-yes1-2.opb, N/A
FiberSCIP, normalized-aim-200-1_6-yes1-2.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-1_6-yes1-2.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-1_6-yes1-2.opb, 200.0
ParLS-PBO, normalized-aim-200-1_6-yes1-2.opb, 200.0
V1, normalized-aim-200-1_6-yes1-2.opb, 200.0
V2, normalized-aim-200-1_6-yes1-2.opb, N/A
ParLS-PBO(4 thread), normalized-aim-200-1_6-yes1-2.opb, N/A
ParLS-PBO(8 thread), normalized-aim-200-1_6-yes1-2.opb, N/A
ParLS-PBO(16 thread), normalized-aim-200-1_6-yes1-2.opb, N/A
LS-PBO, normalized-aim-200-1_6-yes1-3.opb, N/A
DeciLS-PBO, normalized-aim-200-1_6-yes1-3.opb, N/A
PBO-IHS, normalized-aim-200-1_6-yes1-3.opb, 200.0
Hybrid, normalized-aim-200-1_6-yes1-3.opb, 200.0
SCIP, normalized-aim-200-1_6-yes1-3.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-1_6-yes1-3.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-1_6-yes1-3.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-1_6-yes1-3.opb, N/A
FiberSCIP, normalized-aim-200-1_6-yes1-3.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-1_6-yes1-3.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-1_6-yes1-3.opb, 200.0
ParLS-PBO, normalized-aim-200-1_6-yes1-3.opb, 200.0
V1, normalized-aim-200-1_6-yes1-3.opb, 200.0
V2, normalized-aim-200-1_6-yes1-3.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-1_6-yes1-3.opb, N/A
ParLS-PBO(8 thread), normalized-aim-200-1_6-yes1-3.opb, N/A
ParLS-PBO(16 thread), normalized-aim-200-1_6-yes1-3.opb, N/A
LS-PBO, normalized-aim-200-1_6-yes1-4.opb, N/A
DeciLS-PBO, normalized-aim-200-1_6-yes1-4.opb, N/A
PBO-IHS, normalized-aim-200-1_6-yes1-4.opb, 200.0
Hybrid, normalized-aim-200-1_6-yes1-4.opb, N/A
SCIP, normalized-aim-200-1_6-yes1-4.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-1_6-yes1-4.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-1_6-yes1-4.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-1_6-yes1-4.opb, N/A
FiberSCIP, normalized-aim-200-1_6-yes1-4.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-1_6-yes1-4.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-1_6-yes1-4.opb, 200.0
ParLS-PBO, normalized-aim-200-1_6-yes1-4.opb, N/A
V1, normalized-aim-200-1_6-yes1-4.opb, N/A
V2, normalized-aim-200-1_6-yes1-4.opb, N/A
ParLS-PBO(4 thread), normalized-aim-200-1_6-yes1-4.opb, N/A
ParLS-PBO(8 thread), normalized-aim-200-1_6-yes1-4.opb, N/A
ParLS-PBO(16 thread), normalized-aim-200-1_6-yes1-4.opb, N/A
LS-PBO, normalized-aim-200-2_0-yes1-1.opb, N/A
DeciLS-PBO, normalized-aim-200-2_0-yes1-1.opb, N/A
PBO-IHS, normalized-aim-200-2_0-yes1-1.opb, 200.0
Hybrid, normalized-aim-200-2_0-yes1-1.opb, N/A
SCIP, normalized-aim-200-2_0-yes1-1.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-2_0-yes1-1.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-2_0-yes1-1.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-2_0-yes1-1.opb, N/A
FiberSCIP, normalized-aim-200-2_0-yes1-1.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-2_0-yes1-1.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-2_0-yes1-1.opb, 200.0
ParLS-PBO, normalized-aim-200-2_0-yes1-1.opb, N/A
V1, normalized-aim-200-2_0-yes1-1.opb, 200.0
V2, normalized-aim-200-2_0-yes1-1.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-2_0-yes1-1.opb, N/A
ParLS-PBO(8 thread), normalized-aim-200-2_0-yes1-1.opb, N/A
ParLS-PBO(16 thread), normalized-aim-200-2_0-yes1-1.opb, N/A
LS-PBO, normalized-aim-200-2_0-yes1-2.opb, N/A
DeciLS-PBO, normalized-aim-200-2_0-yes1-2.opb, N/A
PBO-IHS, normalized-aim-200-2_0-yes1-2.opb, 200.0
Hybrid, normalized-aim-200-2_0-yes1-2.opb, N/A
SCIP, normalized-aim-200-2_0-yes1-2.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-2_0-yes1-2.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-2_0-yes1-2.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-2_0-yes1-2.opb, N/A
FiberSCIP, normalized-aim-200-2_0-yes1-2.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-2_0-yes1-2.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-2_0-yes1-2.opb, 200.0
ParLS-PBO, normalized-aim-200-2_0-yes1-2.opb, 200.0
V1, normalized-aim-200-2_0-yes1-2.opb, 200.0
V2, normalized-aim-200-2_0-yes1-2.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-2_0-yes1-2.opb, N/A
ParLS-PBO(8 thread), normalized-aim-200-2_0-yes1-2.opb, N/A
ParLS-PBO(16 thread), normalized-aim-200-2_0-yes1-2.opb, N/A
LS-PBO, normalized-aim-200-2_0-yes1-3.opb, N/A
DeciLS-PBO, normalized-aim-200-2_0-yes1-3.opb, N/A
PBO-IHS, normalized-aim-200-2_0-yes1-3.opb, 200.0
Hybrid, normalized-aim-200-2_0-yes1-3.opb, 200.0
SCIP, normalized-aim-200-2_0-yes1-3.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-2_0-yes1-3.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-2_0-yes1-3.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-2_0-yes1-3.opb, N/A
FiberSCIP, normalized-aim-200-2_0-yes1-3.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-2_0-yes1-3.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-2_0-yes1-3.opb, 200.0
ParLS-PBO, normalized-aim-200-2_0-yes1-3.opb, 200.0
V1, normalized-aim-200-2_0-yes1-3.opb, N/A
V2, normalized-aim-200-2_0-yes1-3.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-2_0-yes1-3.opb, N/A
ParLS-PBO(8 thread), normalized-aim-200-2_0-yes1-3.opb, N/A
ParLS-PBO(16 thread), normalized-aim-200-2_0-yes1-3.opb, N/A
LS-PBO, normalized-aim-200-2_0-yes1-4.opb, N/A
DeciLS-PBO, normalized-aim-200-2_0-yes1-4.opb, N/A
PBO-IHS, normalized-aim-200-2_0-yes1-4.opb, 200.0
Hybrid, normalized-aim-200-2_0-yes1-4.opb, N/A
SCIP, normalized-aim-200-2_0-yes1-4.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-2_0-yes1-4.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-2_0-yes1-4.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-2_0-yes1-4.opb, N/A
FiberSCIP, normalized-aim-200-2_0-yes1-4.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-2_0-yes1-4.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-2_0-yes1-4.opb, 200.0
ParLS-PBO, normalized-aim-200-2_0-yes1-4.opb, N/A
V1, normalized-aim-200-2_0-yes1-4.opb, N/A
V2, normalized-aim-200-2_0-yes1-4.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-2_0-yes1-4.opb, N/A
ParLS-PBO(8 thread), normalized-aim-200-2_0-yes1-4.opb, N/A
ParLS-PBO(16 thread), normalized-aim-200-2_0-yes1-4.opb, N/A
LS-PBO, normalized-aim-200-3_4-yes1-1.opb, 200.0
DeciLS-PBO, normalized-aim-200-3_4-yes1-1.opb, 200.0
PBO-IHS, normalized-aim-200-3_4-yes1-1.opb, 200.0
Hybrid, normalized-aim-200-3_4-yes1-1.opb, 200.0
SCIP, normalized-aim-200-3_4-yes1-1.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-3_4-yes1-1.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-3_4-yes1-1.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-3_4-yes1-1.opb, 200.0
FiberSCIP, normalized-aim-200-3_4-yes1-1.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-3_4-yes1-1.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-3_4-yes1-1.opb, 200.0
ParLS-PBO, normalized-aim-200-3_4-yes1-1.opb, 200.0
V1, normalized-aim-200-3_4-yes1-1.opb, 200.0
V2, normalized-aim-200-3_4-yes1-1.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-3_4-yes1-1.opb, 200.0
ParLS-PBO(8 thread), normalized-aim-200-3_4-yes1-1.opb, 200.0
ParLS-PBO(16 thread), normalized-aim-200-3_4-yes1-1.opb, 200.0
LS-PBO, normalized-aim-200-3_4-yes1-2.opb, 200.0
DeciLS-PBO, normalized-aim-200-3_4-yes1-2.opb, 200.0
PBO-IHS, normalized-aim-200-3_4-yes1-2.opb, 200.0
Hybrid, normalized-aim-200-3_4-yes1-2.opb, 200.0
SCIP, normalized-aim-200-3_4-yes1-2.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-3_4-yes1-2.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-3_4-yes1-2.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-3_4-yes1-2.opb, 200.0
FiberSCIP, normalized-aim-200-3_4-yes1-2.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-3_4-yes1-2.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-3_4-yes1-2.opb, 200.0
ParLS-PBO, normalized-aim-200-3_4-yes1-2.opb, 200.0
V1, normalized-aim-200-3_4-yes1-2.opb, 200.0
V2, normalized-aim-200-3_4-yes1-2.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-3_4-yes1-2.opb, 200.0
ParLS-PBO(8 thread), normalized-aim-200-3_4-yes1-2.opb, 200.0
ParLS-PBO(16 thread), normalized-aim-200-3_4-yes1-2.opb, 200.0
LS-PBO, normalized-aim-200-3_4-yes1-3.opb, 200.0
DeciLS-PBO, normalized-aim-200-3_4-yes1-3.opb, 200.0
PBO-IHS, normalized-aim-200-3_4-yes1-3.opb, 200.0
Hybrid, normalized-aim-200-3_4-yes1-3.opb, 200.0
SCIP, normalized-aim-200-3_4-yes1-3.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-3_4-yes1-3.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-3_4-yes1-3.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-3_4-yes1-3.opb, 200.0
FiberSCIP, normalized-aim-200-3_4-yes1-3.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-3_4-yes1-3.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-3_4-yes1-3.opb, 200.0
ParLS-PBO, normalized-aim-200-3_4-yes1-3.opb, 200.0
V1, normalized-aim-200-3_4-yes1-3.opb, 200.0
V2, normalized-aim-200-3_4-yes1-3.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-3_4-yes1-3.opb, 200.0
ParLS-PBO(8 thread), normalized-aim-200-3_4-yes1-3.opb, 200.0
ParLS-PBO(16 thread), normalized-aim-200-3_4-yes1-3.opb, 200.0
LS-PBO, normalized-aim-200-3_4-yes1-4.opb, 200.0
DeciLS-PBO, normalized-aim-200-3_4-yes1-4.opb, 200.0
PBO-IHS, normalized-aim-200-3_4-yes1-4.opb, 200.0
Hybrid, normalized-aim-200-3_4-yes1-4.opb, 200.0
SCIP, normalized-aim-200-3_4-yes1-4.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-3_4-yes1-4.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-3_4-yes1-4.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-3_4-yes1-4.opb, 200.0
FiberSCIP, normalized-aim-200-3_4-yes1-4.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-3_4-yes1-4.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-3_4-yes1-4.opb, 200.0
ParLS-PBO, normalized-aim-200-3_4-yes1-4.opb, 200.0
V1, normalized-aim-200-3_4-yes1-4.opb, 200.0
V2, normalized-aim-200-3_4-yes1-4.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-3_4-yes1-4.opb, 200.0
ParLS-PBO(8 thread), normalized-aim-200-3_4-yes1-4.opb, 200.0
ParLS-PBO(16 thread), normalized-aim-200-3_4-yes1-4.opb, 200.0
LS-PBO, normalized-aim-200-6_0-yes1-1.opb, 200.0
DeciLS-PBO, normalized-aim-200-6_0-yes1-1.opb, 200.0
PBO-IHS, normalized-aim-200-6_0-yes1-1.opb, 200.0
Hybrid, normalized-aim-200-6_0-yes1-1.opb, N/A
SCIP, normalized-aim-200-6_0-yes1-1.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-6_0-yes1-1.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-6_0-yes1-1.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-6_0-yes1-1.opb, 200.0
FiberSCIP, normalized-aim-200-6_0-yes1-1.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-6_0-yes1-1.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-6_0-yes1-1.opb, 200.0
ParLS-PBO, normalized-aim-200-6_0-yes1-1.opb, 200.0
V1, normalized-aim-200-6_0-yes1-1.opb, 200.0
V2, normalized-aim-200-6_0-yes1-1.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-6_0-yes1-1.opb, 200.0
ParLS-PBO(8 thread), normalized-aim-200-6_0-yes1-1.opb, 200.0
ParLS-PBO(16 thread), normalized-aim-200-6_0-yes1-1.opb, 200.0
LS-PBO, normalized-aim-200-6_0-yes1-2.opb, 200.0
DeciLS-PBO, normalized-aim-200-6_0-yes1-2.opb, 200.0
PBO-IHS, normalized-aim-200-6_0-yes1-2.opb, 200.0
Hybrid, normalized-aim-200-6_0-yes1-2.opb, N/A
SCIP, normalized-aim-200-6_0-yes1-2.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-6_0-yes1-2.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-6_0-yes1-2.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-6_0-yes1-2.opb, 200.0
FiberSCIP, normalized-aim-200-6_0-yes1-2.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-6_0-yes1-2.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-6_0-yes1-2.opb, 200.0
ParLS-PBO, normalized-aim-200-6_0-yes1-2.opb, 200.0
V1, normalized-aim-200-6_0-yes1-2.opb, 200.0
V2, normalized-aim-200-6_0-yes1-2.opb, 200.0
ParLS-PBO(4 thread), normalized-aim-200-6_0-yes1-2.opb, 200.0
ParLS-PBO(8 thread), normalized-aim-200-6_0-yes1-2.opb, 200.0
ParLS-PBO(16 thread), normalized-aim-200-6_0-yes1-2.opb, 200.0
LS-PBO, normalized-aim-200-6_0-yes1-3.opb, 200.0
DeciLS-PBO, normalized-aim-200-6_0-yes1-3.opb, 200.0
PBO-IHS, normalized-aim-200-6_0-yes1-3.opb, 200.0
Hybrid, normalized-aim-200-6_0-yes1-3.opb, 200.0
SCIP, normalized-aim-200-6_0-yes1-3.opb, 200.0
Gurobi(comp 1 thread), normalized-aim-200-6_0-yes1-3.opb, 200.0
Gurobi(heur 1 thread), normalized-aim-200-6_0-yes1-3.opb, 200.0
LS-PBO-dynamic, normalized-aim-200-6_0-yes1-3.opb, 200.0
FiberSCIP, normalized-aim-200-6_0-yes1-3.opb, 200.0
Gurobi(comp 32 thread), normalized-aim-200-6_0-yes1-3.opb, 200.0
Gurobi(heur 32 thread), normalized-aim-200-6_0-yes1-3.opb, 200.0
ParLS-PBO, normalized-aim-200-6_0-yes1-3.opb, 200.0
V1, normalized-aim-200-6_0-yes1-3.opb, 200.0
V2, normalized-aim-200-6_0-yes1-3.opb, 200.0
